[2012-11-23 18:08:56] Debug: Cache miss for news.phtml
[2012-11-23 18:09:01] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:41] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:42] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:43] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:53] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:53] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:54] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:58] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:58] Debug: Cache hit for template news.phtml
[2012-11-23 18:13:58] Debug: Cache hit for template news.phtml
[2012-11-23 18:15:03] Debug: Cache hit for template news.phtml
[2012-11-23 18:15:04] Debug: Cache hit for template news.phtml
[2012-11-23 18:15:04] Debug: Cache hit for template news.phtml
[2012-11-23 18:15:04] Debug: Cache hit for template news.phtml
[2012-11-23 18:15:04] Debug: Cache hit for template news.phtml
[2012-11-23 18:15:05] Debug: Cache hit for template news.phtml
[2012-11-23 18:15:05] Debug: Cache hit for template news.phtml
